State,Jurisdiction,All,Yes,No,County,Facility
Georgia,Clayton County - Forest Pk City Jail,3,,3,Clayton County,Forest Pk City Jail
Georgia,Johnson County - Johnson County Sheriff,3,,3,Johnson County,Johnson County Sheriff
Georgia,Calhoun County - Calhoun County Sheriff,3,1,2,Calhoun County,Calhoun County Sheriff
Georgia,Schley County - Schley County Sheriff,2,1,1,Schley County,Schley County Sheriff
Georgia,Fulton County - Csc So.Fulton Munic.Jail,2,,2,Fulton County,Csc So.Fulton Munic.Jail
Georgia,Screven County - Screven County Sheriff,2,,2,Screven County,Screven County Sheriff
Georgia,Jenkins County - Jenkins County Sheriff,2,,2,Jenkins County,Jenkins County Sheriff
Georgia,Talbot County - Talbot County Sheriff,1,1,,Talbot County,Talbot County Sheriff
Georgia,Taliaferro County - Taliaferro County Sheriff,1,,1,Taliaferro County,Taliaferro County Sheriff
Georgia,Hancock County - Hancock County Jail,1,,1,Hancock County,Hancock County Jail
Georgia,Pike County - Ga Baptist Children Home,1,1,,Pike County,Ga Baptist Children Home
